sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.0002,2.0000000000000003e-06,2.0,9.387755102040817e-05,0.9871177176511967,128822.82348803287
10000000.0,0.0002,2.0000000000000003e-06,2.0,9.79591836734694e-05,0.9873284836134854,126715.16386514647
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00010204081632653063,0.987535028676194,124649.71323805973
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00010612244897959185,0.9877373489543634,122626.51045636619
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00011020408163265307,0.9879354602322741,120645.39767725924
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0001142857142857143,0.9881293937074264,118706.06292573638
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00011836734693877552,0.9883191926440758,116808.0735592425
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00012244897959183676,0.9885049097229638,114950.90277036213
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00012653061224489798,0.9886866049289857,113133.95071014254
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0001306122448979592,0.9888643438581459,111356.56141854078
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00013469387755102042,0.9890381963539494,109618.03646050594
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00013877551020408165,0.9892082354045587,107917.64595441289
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00014285714285714287,0.9893745362477728,106254.63752227172
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0001469387755102041,0.9895371756426811,104628.24357318933
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0001510204081632653,0.9896962312757717,103037.68724228335
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00015510204081632656,0.9898517812760843,101482.18723915692
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00015918367346938778,0.9900039038192322,99960.96180767799
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.000163265306122449,0.9901526768041814,98473.23195818602
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00016734693877551023,0.9902981775898374,97018.22410162596
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00017142857142857145,0.9904404827809784,95595.17219021596
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00017551020408163267,0.9905796680550402,94203.31944959836
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0001795918367346939,0.9907158080228192,92841.91977180778
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00018367346938775512,0.9908489761174124,91510.23882587595
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00018775510204081634,0.990979244506713,90207.55493286958
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.00019183673469387756,0.9911066840255981,88933.15974401905
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0001959183673469388,0.9912313641245961,87686.35875403885
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0002,0.9913533528323661,86466.47167633858
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0,0.0,0.0
10000000.0,0.0002,2.0000000000000003e-06,4.5,4.081632653061225e-06,0.9773579994422849,226420.00557715146
10000000.0,0.0002,2.0000000000000003e-06,4.5,8.16326530612245e-06,0.9679769617458346,320230.38254165417
